archip;common_name;species;iucn_category_2021;description;story
None;Black-Polled Yellowthroat;Geothlypis Speciosa;VU;Vulnerable;
None;Black-Spectacled Brush-Finch;Atlapetes Melanopsis;NT;Near Threatened;
None;Black-Tailed Antbird;Myrmoborus Melanurus;VU;Vulnerable;
None;Black-Tailed Godwit;Limosa Limosa;NT;Near Threatened;
None;Black-Thighed Puffleg;Eriocnemis Derbyi;NT;Near Threatened;
None;Blackthroat;Calliope Obscura;VU;Vulnerable;
None;Black-Throated Babbler;Stachyris Nigricollis;NT;Near Threatened;
None;Black-Throated Shrikebill;Clytorhynchus Nigrogularis;NT;Near Threatened;
None;Bermuda Petrel;Pterodroma Cahow;EN;Endangered;Once thought extinct for over 300 years, this seabird'known as the Cahow'was rediscovered on tiny islets in Bermuda. Its eerie nocturnal cries are reminders of its resilience. Conservationists work tirelessly to protect its nesting sites from hurricanes and predators.
None;Black-Throated Wren-Babbler;Turdinus Atrigularis;NT;Near Threatened;
None;Black-Vented Shearwater;Puffinus Opisthomelas;NT;Near Threatened;
None;Black-Winged Lory;Eos Cyanogenia;VU;Vulnerable;
None;Black-Winged Myna;Acridotheres Melanopterus;EN;Endangered;
None;Black-Winged Pratincole;Glareola Nordmanni;NT;Near Threatened;
None;Bernier'S Vanga;Oriolia Bernieri;EN;Endangered;Endemic to Madagascar, this bird's robust bill and stark black-and-white plumage make it a forest icon. Its loud, nasal calls signal its presence in vanishing habitats. Deforestation for agriculture is threatening its delicate ecosystem.
None;Black-Winged Trumpeter;Psophia Obscura;CR;Critically Endangered;
None;Blaze-Winged Parakeet;Pyrrhura Devillei;NT;Near Threatened;
None;Blossom-Headed Parakeet;Himalayapsitta Roseata;NT;Near Threatened;
None;Blue Bird-Of-Paradise;Paradisornis Rudolphi;NT;Near Threatened;
None;Blue Bustard;Eupodotis Caerulescens;NT;Near Threatened;
None;Blue Crane;Anthropoides Paradiseus;VU;Vulnerable;
None;Blue Finch;Porphyrospiza Caerulescens;NT;Near Threatened;
None;Blue Lorikeet;Vini Peruviana;VU;Vulnerable;
None;Blue Mountain Vireo;Vireo Osburni;NT;Near Threatened;
None;Blue Swallow;Hirundo Atrocaerulea;VU;Vulnerable;
None;Blue-And-Gold Tanager;Bangsia Arcaei;NT;Near Threatened;
None;Blue-Backed Parrot;Tanygnathus Everetti;EN;Endangered;
None;Blue-Bellied Parrot;Triclaria Malachitacea;NT;Near Threatened;
None;Blue-Billed Curassow;Crax Alberti;CR;Critically Endangered;
None;Blue-Billed Duck;Oxyura Australis;NT;Near Threatened;
None;Blue-Black Kingfisher;Todiramphus Nigrocyaneus;NT;Near Threatened;
None;Blue-Breasted Blue-Flycatcher;Cyornis Herioti;NT;Near Threatened;
None;Blue-Breasted Parrot;Pionus Reichenowi;VU;Vulnerable;
None;Blue-Capped Fruit-Dove;Ptilinopus Monacha;NT;Near Threatened;
None;Blue-Capped Kingfisher;Actenoides Hombroni;VU;Vulnerable;
None;Blue-Cheeked Amazon;Amazona Dufresniana;NT;Near Threatened;
None;Blue-Chinned Barbet;Eubucco Glaucogularis;NT;Near Threatened;
None;Blue-Crowned Laughingthrush;Pterorhinus Courtoisi;CR;Critically Endangered;
None;Blue-Eared Lory;Eos Semilarvata;NT;Near Threatened;
None;Blue-Eyed Cockatoo;Cacatua Ophthalmica;VU;Vulnerable;
None;Blue-Eyed Ground-Dove;Columbina Cyanopis;CR;Critically Endangered;
None;Black Harrier;Circus Maurus;EN;Endangered;This raptor's bold black-and-white plumage cuts a striking figure as it soars low over South Africa's grasslands. Its piercing yellow eyes scan for prey in the golden savannah. Habitat conversion to agriculture has decimated its once-thriving population.
None;Brazilian Merganser;Mergus Octosetaceus;CR;Critically Endangered;An elusive duck with striking emerald and white plumage, it navigates fast-flowing Brazilian rivers. Dam construction and pollution have nearly obliterated its delicate ecosystem.
None;Blue-Faced Rail;Gymnocrex Rosenbergii;VU;Vulnerable;
None;Blue-Fronted Lorikeet;Charmosyna Toxopei;CR;Critically Endangered;
None;Blue-Headed Kingfisher;Actenoides Monachus;NT;Near Threatened;
None;Black Rail;Laterallus Jamaicensis;EN;Endangered;Often heard but rarely seen, this tiny bird inhabits wetlands in the Americas. Its haunting 'ki-ki-kerr' call belies its diminutive size and secretive nature. Habitat destruction from development and climate change has pushed it to the brink.
None;Blue-Headed Macaw;Primolius Couloni;VU;Vulnerable;
None;Blue-Headed Pitta;Hydrornis Baudii;VU;Vulnerable;
None;Blue-Headed Racquet-Tail;Prioniturus Platenae;VU;Vulnerable;
None;Blue-Masked Leafbird;Chloropsis Venusta;NT;Near Threatened;
None;Blue-Moustached Bee-Eater;Merops Mentalis;NT;Near Threatened;
None;Blue-Naped Parrot;Tanygnathus Lucionensis;NT;Near Threatened;
None;Blue-Rumped Manakin;Lepidothrix Isidorei;NT;Near Threatened;
None;Blue-Rumped Parrot;Psittinus Cyanurus;NT;Near Threatened;
None;Blue-Streaked Lory;Eos Reticulata;NT;Near Threatened;
None;Blue-Throated Hillstar;Oreotrochilus Cyanolaemus;CR;Critically Endangered;
None;New Caledonian Nightjar;Eurostopodus Exul;CR (PE);Critically Endangered (Possibly Extinct);A mysterious nocturnal bird from New Caledonia, it was last sighted in the 20th century. Habitat destruction and predation by invasive species likely led to its disappearance., it was last sighted in the 20th century. Habitat destruction and predation by invasive species likely led to its disappearance.
None;Heinrich'S Nightjar;Eurostopodus Diabolicus;VU;Vulnerable;This cryptic bird was a master of camouflage in Jamaica's forests. Habitat loss and invasive predators sealed its fate.  
None;Blue-Throated Macaw;Ara Glaucogularis;CR;Critically Endangered;
None;Blue-Whiskered Tanager;Tangara Johannae;NT;Near Threatened;
None;Jamaican Poorwill;Siphonorhis Americana;CR (PE);Critically Endangered (Possibly Extinct);This cryptic bird was a master of camouflage in Jamaica's forests. Habitat loss and invasive predators sealed its fate.
None;Blue-Winged Goose;Cyanochen Cyanoptera;VU;Vulnerable;
None;Blue-Winged Macaw;Primolius Maracana;NT;Near Threatened;
None;Blyth'S Kingfisher;Alcedo Hercules;NT;Near Threatened;
None;Black Robin;Petroica Traversi;EN;Endangered;Hailing from the Chatham Islands, this small black bird is a testament to conservation success. With only five individuals left in the 1980s, careful management saved it from extinction. Its story highlights the importance of protecting small, isolated populations.
None;Blyth'S Tragopan;Tragopan Blythii;VU;Vulnerable;
None;Boa Nova Tapaculo;Scytalopus Gonzagai;EN;Endangered;
None;Bogota Rail;Rallus Semiplumbeus;VU;Vulnerable;
None;Bolivian Spinetail;Cranioleuca Henricae;VU;Vulnerable;
None;Bonaparte'S Nightjar;Caprimulgus Concretus;VU;Vulnerable;
None;Bonin White-Eye;Apalopteron Familiare;NT;Near Threatened;
None;Bornean Bristlehead;Pityriasis Gymnocephala;NT;Near Threatened;
None;Bornean Crested Fireback;Lophura Ignita;VU;Vulnerable;
None;Bornean Crestless Fireback;Lophura Pyronota;VU;Vulnerable;
None;Bornean Frogmouth;Batrachostomus Mixtus;NT;Near Threatened;
None;Bornean Ground-Cuckoo;Carpococcyx Radiceus;NT;Near Threatened;
None;Bornean Wren-Babbler;Ptilocichla Leucogrammica;VU;Vulnerable;
None;Botha'S Lark;Spizocorys Fringillaris;EN;Endangered;
None;Bougainville Bush-Warbler;Horornis Haddeni;NT;Near Threatened;
None;Bougainville Moustached Kingfisher;Actenoides Bougainvillei;EN;Endangered;
None;Bougainville Rail;Hypotaenidia Tertia;NT;Near Threatened;
None;Bougainville Thicketbird;Megalurulus Llaneae;NT;Near Threatened;
None;Bougainville Thrush;Zoothera Atrigena;NT;Near Threatened;
None;Bounty Shag;Leucocarbo Ranfurlyi;VU;Vulnerable;
None;Brasilia Tapaculo;Scytalopus Novacapitalis;EN;Endangered;
None;Brass'S Friarbird;Philemon Brassi;NT;Near Threatened;
None;Braun'S Bush-Shrike;Laniarius Brauni;EN;Endangered;
None;Bristled Grassbird;Schoenicola Striatus;VU;Vulnerable;
None;Bristle-Thighed Curlew;Numenius Tahitiensis;NT;Near Threatened;
None;Broad-Tailed Grassbird;Schoenicola Platyurus;VU;Vulnerable;
None;Black-Backed Thornbill;Ramphomicron Dorsale;EN;Endangered;This high-altitude hummingbird is a jewel of the Andes, with metallic-green plumage and a distinctive white throat patch. Its rapid wingbeats and shrill chirps accompany its quest for nectar among mountain flowers. Warming temperatures are pushing its habitat higher, leaving it with fewer safe havens.
None;Black-Bellied Tern;Sterna Acuticauda;EN;Endangered;With its stark black belly contrasting against its soft gray wings, this tern is a striking figure as it glides over rivers. Its sharp, whistling calls are a familiar sound in the wetlands it calls home. Damming and pollution of waterways have severely impacted its breeding grounds, placing this waterbird under threat.
None;Bronze-Brown Cowbird;Molothrus Armenti;NT;Near Threatened;
None;Black-Billed Amazon;Amazona Agilis;EN;Endangered;Known for its loud, raucous squawks, this Jamaican parrot flaunts green plumage with a shimmering blue sheen. It relies on mature forests for nesting, now increasingly scarce due to deforestation and illegal trapping. Without action, its cheerful calls may fade from Jamaica's hills.
None;Cebu Flowerpecker;Dicaeum Quadricolor;CR;Critically Endangered;Once thought extinct, this vibrant bird from Cebu Island with its striking red, blue, and black plumage was rediscovered in the 1990s. Deforestation continues to threaten its fragile population.
None;Brown Eared-Pheasant;Crossoptilon Mantchuricum;VU;Vulnerable;
None;Brown Fulvetta;Alcippe Brunneicauda;NT;Near Threatened;
None;Black-Capped Petrel;Pterodroma Hasitata;EN;Endangered;"""This ethereal seabird, with its dark cap and pale wings, glides effortlessly over the open ocean. Its eerie, wailing calls have earned it the nickname """"Diablotin"""" or """"little devil."""" Coastal development and predators introduced to its nesting areas have pushed it toward the brink of extinction.,"""
None;Brown Mesite;Mesitornis Unicolor;VU;Vulnerable;
None;Black-Cheeked Ant-Tanager;Habia Atrimaxillaris;EN;Endangered;Its black facial markings and coral-red plumage make this Central American bird a striking presence in tropical forests. Its soft, melodic whistles are a welcome sound in its forest habitat, now under siege from cattle ranching and logging. Protecting its shrinking range is critical to preserving its delicate ecosystem.
None;Brown Tanager;Orchesticus Abeillei;NT;Near Threatened;
None;Brown Teal;Anas Chlorotis;NT;Near Threatened;
None;Turquoise-Throated Puffleg;Eriocnemis Godini;CR (PE);Critically Endangered (Possibly Extinct);This shimmering hummingbird of Ecuador vanished due to deforestation in its cloud forest habitat.
None;Brown Wood-Rail;Aramides Wolfi;VU;Vulnerable;
None;Brown-Backed Dove;Leptotila Battyi;VU;Vulnerable;
None;Brown-Backed Flowerpecker;Dicaeum Everetti;NT;Near Threatened;
None;Brown-Backed Parrotlet;Touit Melanonotus;VU;Vulnerable;
None;Brown-Banded Antpitta;Grallaria Milleri;VU;Vulnerable;
None;Brown-Bellied Antwren;Epinecrophylla Gutturalis;NT;Near Threatened;
None;Brown-Breasted Parakeet;Pyrrhura Calliptera;VU;Vulnerable;
None;Brown-Capped Rosy-Finch;Leucosticte Australis;EN;Endangered;
None;Black-Fronted Piping-Guan;Pipile Jacutinga;EN;Endangered;This bird's black-and-white plumage and striking red wattles make it a standout in Brazil's Atlantic Forest. Its loud, honking calls reverberate through the dense undergrowth as it searches for fruit. Illegal hunting and habitat destruction are rapidly reducing its numbers.
None;Brown-Cheeked Bulbul;Alophoixus Bres;EN;Endangered;
None;Brown-Cheeked Hornbill;Bycanistes Cylindricus;VU;Vulnerable;
None;Brown-Chested Jungle-Flycatcher;Cyornis Brunneatus;VU;Vulnerable;
None;Brown-Headed Crow;Corvus Fuscicapillus;NT;Near Threatened;
None;Brown-Rumped Tapaculo;Scytalopus Latebricola;NT;Near Threatened;
None;Brown-Winged Kingfisher;Pelargopsis Amauroptera;NT;Near Threatened;
None;Bryan'S Shearwater;Puffinus Bryani;CR;Critically Endangered;
None;Buff-Breasted Buttonquail;Turnix Olivii;EN;Endangered;
None;Buff-Breasted Sandpiper;Calidris Subruficollis;NT;Near Threatened;
None;Buff-Breasted Tody-Tyrant;Hemitriccus Mirandae;VU;Vulnerable;
None;Buff-Necked Woodpecker;Meiglyptes Tukki;NT;Near Threatened;
None;Buff-Throated Purpletuft;Iodopleura Pipra;EN;Endangered;
None;Buff-Throated Tody-Tyrant;Hemitriccus Rufigularis;NT;Near Threatened;
None;Buff-Vented Bulbul;Iole Charlottae;NT;Near Threatened;
None;Buffy Helmetcrest;Oxypogon Stuebelii;VU;Vulnerable;
None;Buffy-Fronted Seedeater;Sporophila Frontalis;VU;Vulnerable;
None;Bugun Liocichla;Liocichla Bugunorum;CR;Critically Endangered;
None;Buller'S Albatross;Thalassarche Bulleri;NT;Near Threatened;
None;Buller'S Shearwater;Ardenna Bulleri;VU;Vulnerable;
None;Blakiston'S Eagle-Owl;Bubo Blakistoni;EN;Endangered;The largest owl in the world, it boasts piercing yellow eyes and tufted ear feathers that give it a commanding presence. Its deep, resonant hoots dominate the forests of Japan and Russia, often heard before the bird itself is seen. Old-growth forest logging has left this nocturnal giant increasingly homeless.
None;Bulwer'S Pheasant;Lophura Bulweri;VU;Vulnerable;
None;Buru Cuckooshrike;Coracina Fortis;NT;Near Threatened;
None;Blue Duck;Hymenolaimus Malacorhynchos;EN;Endangered;A unique resident of New Zealand's fast-flowing rivers, this duck sports slate-blue plumage and a bright orange bill. Known for its whistling calls, it is perfectly adapted to life in whitewater rapids. Introduced predators and habitat changes have severely impacted its population.
None;Buru Dwarf-Kingfisher;Ceyx Cajeli;NT;Near Threatened;
None;Buru Green-Pigeon;Treron Aromaticus;NT;Near Threatened;
None;Buru Thrush;Geokichla Dumasi;NT;Near Threatened;
None;Bush Blackcap;Sylvia Nigricapillus;VU;Vulnerable;
None;Bushy-Crested Hornbill;Anorrhinus Galeritus;NT;Near Threatened;
None;Cabanis'S Spinetail;Synallaxis Cabanisi;NT;Near Threatened;
None;Cabot'S Tragopan;Tragopan Caboti;VU;Vulnerable;
None;Blue-Headed Quail-Dove;Starnoenas Cyanocephala;EN;Endangered;With iridescent blue and chestnut feathers, this Cuban dove is a forest jewel. It strolls the forest floor with quiet elegance, feeding on seeds and insects. Hunting and habitat destruction have caused steep declines in its numbers.
None;Caica Parrot;Pyrilia Caica;NT;Near Threatened;
None;Calayan Rail;Gallirallus Calayanensis;VU;Vulnerable;
None;Chilean Woodstar;Eulidia Yarrellii;CR;Critically Endangered;A fiery hummingbird from Chile with iridescent orange feathers, it depended on the island's native flora for survival. Habitat changes and introduced species have imperiled its tiny, vibrant population.
None;California Condor;Gymnogyps Californianus;CR;Critically Endangered;
None;Cambodian Laughingthrush;Garrulax Ferrarius;NT;Near Threatened;
None;Cambodian Tailorbird;Orthotomus Chaktomuk;NT;Near Threatened;
None;Camiguin Boobook;Ninox Leventisi;EN;Endangered;
None;Camiguin Bulbul;Hypsipetes Catarmanensis;NT;Near Threatened;
None;Campbell Albatross;Thalassarche Impavida;VU;Vulnerable;
None;Campbell Shag;Leucocarbo Campbelli;VU;Vulnerable;
None;Campbell Teal;Anas Nesiotis;VU;Vulnerable;
None;Campina Jay;Cyanocorax Hafferi;NT;Near Threatened;
None;Campo Miner;Geositta Poeciloptera;VU;Vulnerable;
None;Canebrake Groundcreeper;Clibanornis Dendrocolaptoides;NT;Near Threatened;
None;Cape Cormorant;Phalacrocorax Capensis;EN;Endangered;
None;Cape Parrot;Poicephalus Robustus;VU;Vulnerable;
None;Cape Rockjumper;Chaetops Frenatus;NT;Near Threatened;
None;Cape Verde Petrel;Pterodroma Feae;NT;Near Threatened;
None;Bornean Peacock-Pheasant;Polyplectron Schleiermacheri;EN;Endangered;A master of camouflage, this pheasant displays intricate plumage resembling a forest mosaic. Males fan their tail feathers in elaborate courtship displays. Logging and habitat loss on Borneo have made it critically endangered.
None;Cape Verde Shearwater;Calonectris Edwardsii;NT;Near Threatened;
None;Cape Verde Swamp-Warbler;Acrocephalus Brevipennis;VU;Vulnerable;
None;Cape Vulture;Gyps Coprotheres;VU;Vulnerable;
None;Carpentarian Grasswren;Amytornis Dorotheae;VU;Vulnerable;
None;Carriker'S Mountain-Tanager;Dubusia Carrikeri;EN;Endangered;
None;Carunculated Fruit-Dove;Ptilinopus Granulifrons;VU;Vulnerable;
None;Cassin'S Auklet;Ptychoramphus Aleuticus;NT;Near Threatened;
